fromUNLOCODe,ToUNLOCODE,Distance,
AEJEA,AOLAD,6439,
AEJEA,AOLOB,6252,
AEJEA,ARBHI,8921,
AEJEA,ARBUE,8516,
AEJEA,ARPMY,9264,
AEJEA,ARPUD,8576,
AEJEA,AUADL,6281,
AEJEA,AUBNE,7265,
AEJEA,AUFRE,5046,
AEJEA,AUMEL,6613,
AEJEA,AUSYD,7080,
AEJEA,BDCGP,3257,
AEJEA,BEANR,6297,
AEJEA,BEANR,10999,
AEJEA,BEZEE,6236,
AEJEA,BEZEE,10938,
AEJEA,BGVAR,3948,
AEJEA,BGVAR,11824,
AEJEA,BJCOO,7372,
AEJEA,BRITJ,8257,
AEJEA,BRMAO,9004,
AEJEA,BRMAO,10100,
AEJEA,BRPNG,8308,
AEJEA,BRRIG,8740,
AEJEA,BRSSZ,8256,
AEJEA,BRVIX,7989,
AEJEA,BSFPO,8592,
AEJEA,BSFPO,11486,
AEJEA,BZBZE,9385,
AEJEA,BZBZE,11765,
AEJEA,CAMTR,8183,
AEJEA,CAMTR,11946,
AEJEA,CAVAN,10596,
AEJEA,CDBOA,6587,
AEJEA,CDMAT,6674,
AEJEA,CGPNR,6671,
AEJEA,CIABJ,7405,
AEJEA,CIABJ,7524,
AEJEA,CLARI,11254,12
AEJEA,CLARI,11317,
AEJEA,CLIQQ,11217,
AEJEA,CLSAI,10426,
AEJEA,CMDLA,7197,
AEJEA,CNDLC,6130,
AEJEA,CNFOC,5335,
AEJEA,CNLYG,6116,
AEJEA,CNSHA,5725,
AEJEA,CNTAO,5984,
AEJEA,CNXMN,5167,
AEJEA,CNYTN,4970,
AEJEA,COBAQ,8979,
AEJEA,COBAQ,10976,
AEJEA,COBUN,9685,12
AEJEA,COBUN,11630,
AEJEA,CRMOB,9393,
AEJEA,CRMOB,11462,
AEJEA,CYLMS,3200,
AEJEA,CYLMS,11781,
AEJEA,DEBRV,6503,
AEJEA,DEBRV,11205,
AEJEA,DEHAM,6559,
AEJEA,DEHAM,11261,
AEJEA,DJJIB,1742,
AEJEA,DKAAR,6816,
AEJEA,DKAAR,11518,
AEJEA,DZAAE,4281,
AEJEA,DZAAE,10536,
AEJEA,DZALG,4506,
AEJEA,DZALG,10297,
AEJEA,DZBJA,4415,
AEJEA,DZBJA,10409,
AEJEA,DZORN,4703,
AEJEA,DZORN,10112,
AEJEA,DZSKI,4329,
AEJEA,DZSKI,10497,
AEJEA,ECESM,9805,12
AEJEA,ECESM,11750,
AEJEA,ECGYE,10157,12
AEJEA,ECGYE,12102,
AEJEA,EGALY,3126,
AEJEA,EGALY,11682,
AEJEA,EGDAM,2992,
AEJEA,EGDAM,11803,
AEJEA,EGPSD,2972,
AEJEA,EGPSD,11823,
AEJEA,ESAGP,4865,
AEJEA,ESAGP,9960,
AEJEA,ESALG,4919,
AEJEA,ESALG,9907,
AEJEA,ESBCN,4592,
AEJEA,ESBCN,10395,
AEJEA,ESLPA,5619,
AEJEA,ESLPA,9277,
AEJEA,ESSCT,5635,
AEJEA,ESSCT,9265,
AEJEA,ESTAR,4626,
AEJEA,ESTAR,10383,
AEJEA,ESVGO,5442,
AEJEA,ESVGO,10136,
AEJEA,ESVLC,4671,
AEJEA,ESVLC,10265,
AEJEA,FIKTK,7444,
AEJEA,FIKTK,12146,
AEJEA,FIRAU,7429,
AEJEA,FIRAU,12131,
AEJEA,FJSUV,8195,
AEJEA,FRBES,5875,
AEJEA,FRBES,10569,
AEJEA,FRDKK,6207,
AEJEA,FRDKK,10909,
AEJEA,FRFOS,4531,
AEJEA,FRFOS,10577,
AEJEA,FRLEH,6099,
AEJEA,FRLEH,10801,
AEJEA,FRLPE,5888,
AEJEA,FRLPE,10588,
AEJEA,FRURO,6168,
AEJEA,FRURO,10870,
AEJEA,GALBV,6969,
AEJEA,GAPOG,7030,
AEJEA,GBABD,6571,
AEJEA,GBABD,11273,
AEJEA,GBFXT,6256,
AEJEA,GBFXT,10958,
AEJEA,GBSOU,6079,
AEJEA,GBSOU,10781,
AEJEA,GBTHP,6272,
AEJEA,GBTHP,10974,
AEJEA,GEPTI,4433,
AEJEA,GEPTI,12236,
AEJEA,GHTKD,7548,
AEJEA,GNCKY,6841,
AEJEA,GNCKY,8021,
AEJEA,GRPIR,3591,
AEJEA,GRPIR,11322,
AEJEA,GRSKG,3733,
AEJEA,GRSKG,11567,
AEJEA,GUGUM,6103,
AEJEA,GWOXB,7108,
AEJEA,GWOXB,8330,
AEJEA,HKHKG,4965,
AEJEA,HNPCR,9445,
AEJEA,HNPCR,11748,
AEJEA,IDJKT,3802,
AEJEA,IDSRG,3992,
AEJEA,IDSUB,4175,
AEJEA,IEDUB,6139,
AEJEA,IEDUB,10830,
AEJEA,ILASH,3118,
AEJEA,ILASH,11881,
AEJEA,ILHFA,3187,
AEJEA,ILHFA,11892,
AEJEA,INCOK,1773,
AEJEA,INMAA,2552,
AEJEA,INNSA,1188,
AEJEA,INPAV,1824,
AEJEA,IRBND,697,
AEJEA,ITGIT,3931,
AEJEA,ITGIT,10925,
AEJEA,ITGOA,4418,
AEJEA,ITGOA,10729,
AEJEA,ITSAL,4090,
AEJEA,ITSAL,10900,
AEJEA,ITTRS,4300,
AEJEA,ITTRS,11542,
AEJEA,JOAQB,2845,
AEJEA,JPHKT,6052,
AEJEA,JPNGO,6416,
AEJEA,JPOSA,6218,
AEJEA,JPSMZ,6397,
AEJEA,JPTYO,6416,
AEJEA,JPUKB,6207,
AEJEA,JPYOK,6394,
AEJEA,KEMBA,3196,
AEJEA,KRPUS,6020,
AEJEA,KWSWK,531,
AEJEA,LBBEY,3222,
AEJEA,LBBEY,11889,
AEJEA,LKCMB,1955,
AEJEA,LRMLW,7090,
AEJEA,LRMLW,7859,
AEJEA,MAAGA,5358,
AEJEA,MAAGA,9528,
AEJEA,MACAS,5104,
AEJEA,MACAS,9721,
AEJEA,MAPTM,4944,
AEJEA,MAPTM,9851,
AEJEA,MQFDF,8211,
AEJEA,MQFDF,10320,
AEJEA,MUPLU,3705,
AEJEA,MXESE,11366,
AEJEA,MXLZC,10920,12
AEJEA,MXLZC,12441,
AEJEA,MXPGO,9308,
AEJEA,MXPGO,12001,
AEJEA,MYPEN,3222,
AEJEA,MYPKG,3426,
AEJEA,MYTPP,3550,
AEJEA,NCNOU,7555,
AEJEA,NGAPP,7436,
AEJEA,NICIO,10016,12
AEJEA,NICIO,11961,
AEJEA,NLRTM,6300,
AEJEA,NLRTM,11002,
AEJEA,NOAES,6854,
AEJEA,NOAES,11550,
AEJEA,NOBGO,6750,
AEJEA,NOBGO,11452,
AEJEA,NOKRS,6650,
AEJEA,NOKRS,11352,
AEJEA,NOSVG,6679,
AEJEA,NOSVG,11381,
AEJEA,NZAKL,8143,
AEJEA,NZLYT,7908,
AEJEA,NZNPL,7922,
AEJEA,NZNSN,7910,
AEJEA,NZPOE,7805,
AEJEA,NZWLG,7978,
AEJEA,OMSLL,1896,
AEJEA,PABLB,9333,12
AEJEA,PABLB,11278,
AEJEA,PAMIT,8881,
AEJEA,PAMIT,11313,
AEJEA,PECLL,10683,12
AEJEA,PECLL,11544,
AEJEA,PFPPT,9986,
AEJEA,PHGES,4949,
AEJEA,PHMNL,4848,
AEJEA,PKBQM,1697,
AEJEA,PKKHI,1692,
AEJEA,PLGDY,7131,
AEJEA,PLGDY,11833,
AEJEA,PRSJU,8274,
AEJEA,PRSJU,10614,
AEJEA,PTLEI,5380,
AEJEA,PTLEI,10124,
AEJEA,PTLIS,5224,
AEJEA,PTLIS,9944,
AEJEA,RUKGD,7201,
AEJEA,RUKGD,11903,
AEJEA,RULED,7547,
AEJEA,RULED,12249,
AEJEA,SADMM,756,
AEJEA,SAJBI,331,
AEJEA,SAJED,2295,
AEJEA,SEGOT,6731,
AEJEA,SEGOT,11433,
AEJEA,SGSIN,3518,
AEJEA,SIKOP,4346,
AEJEA,SIKOP,11530,
AEJEA,SLFNA,6879,
AEJEA,SLFNA,8002,
AEJEA,SNDKR,6398,
AEJEA,SNDKR,8422,
AEJEA,SVAQJ,10166,12
AEJEA,SVAQJ,12111,
AEJEA,SYLTK,3302,
AEJEA,SYLTK,11876,
AEJEA,TGLFW,7443,
AEJEA,THLCH,4277,
AEJEA,TNSFA,4123,
AEJEA,TNSFA,10925,
AEJEA,TNTUN,4164,
AEJEA,TNTUN,10681,
AEJEA,TRAMB,3796,
AEJEA,TRAMB,11677,
AEJEA,TRIZM,3600,
AEJEA,TRIZM,11518,
AEJEA,TRMER,3351,
AEJEA,TRMER,11850,
AEJEA,TWKEL,5415,
AEJEA,TWKHH,5182,
AEJEA,TZDAR,3334,
AEJEA,UAODS,4144,
AEJEA,UAODS,12021,
AEJEA,USBAL,8404,
AEJEA,USBAL,11736,
AEJEA,USCHS,8546,
AEJEA,USCHS,11650,
AEJEA,USDUT,8882,
AEJEA,USEWR,11310,
AEJEA,USEWR,13306,
AEJEA,USHNL,9288,
AEJEA,USHOU,9615,
AEJEA,USHOU,12325,
AEJEA,USILM,8476,
AEJEA,USILM,11651,
AEJEA,USLAX,11232,
AEJEA,USLGB,11227,
AEJEA,USMIA,8683,
AEJEA,USMIA,11497,
AEJEA,USMOB,9341,
AEJEA,USMOB,12053,
AEJEA,USMSY,9394,
AEJEA,USMSY,12106,
AEJEA,USOAK,10856,
AEJEA,USPHL,8258,
AEJEA,USPHL,11686,
AEJEA,USSAV,8643,
AEJEA,USSAV,11711,
AEJEA,USSEA,10552,
AEJEA,UYMVD,8455,
AEJEA,VELAG,8572,
AEJEA,VELAG,10478,
AEJEA,VEPBL,8639,
AEJEA,VEPBL,10544,
AEJEA,VNDAD,4685,
AEJEA,VNHPH,4843,
AEJEA,VNSGN,4167,
AEJEA,YEADE,1594,
AEJEA,ZACPT,4847,
